Kabupaten/Kota,Indeks Pembangunan Manusia Menurut Kebupaten/Kota,Provinsi
Kabupaten Pacitan,70.19,Jawa Timur
Kabupaten Ponorogo,72.5,Jawa Timur
Kabupaten Trenggalek,71.73,Jawa Timur
Kabupaten Tulungagung,74.61,Jawa Timur
Kabupaten Blitar,72.49,Jawa Timur
Kabupaten Kediri,73.96,Jawa Timur
Kabupaten Malang,72.16,Jawa Timur
Kabupaten Lumajang,67.87,Jawa Timur
Kabupaten Jember,68.64,Jawa Timur
Kabupaten Banyuwangi,72.61,Jawa Timur
Kabupaten Bondowoso,67.99,Jawa Timur
Kabupaten Situbondo,69.16,Jawa Timur
Kabupaten Probolinggo,67.79,Jawa Timur
Kabupaten Pasuruan,70.29,Jawa Timur
Kabupaten Sidoarjo,81.55,Jawa Timur
Kabupaten Mojokerto,75.53,Jawa Timur
Kabupaten Jombang,74.6,Jawa Timur
Kabupaten Nganjuk,73.71,Jawa Timur
Kabupaten Madiun,72.97,Jawa Timur
Kabupaten Magetan,75.41,Jawa Timur
Kabupaten Ngawi,72.47,Jawa Timur
Kabupaten Bojonegoro,70.85,Jawa Timur
Kabupaten Tuban,70.34,Jawa Timur
Kabupaten Lamongan,74.53,Jawa Timur
Kabupaten Gresik,77.98,Jawa Timur
Kabupaten Bangkalan,65.75,Jawa Timur
Kabupaten Sampang,64.13,Jawa Timur
Kabupaten Pamekasan,67.96,Jawa Timur
Kabupaten Sumenep,68.61,Jawa Timur
Kota Kediri,80.44,Jawa Timur
Kota Blitar,80.63,Jawa Timur
Kota Malang,83.39,Jawa Timur
Kota Probolinggo,75.43,Jawa Timur
Kota Pasuruan,77.17,Jawa Timur
Kota Mojokerto,80.07,Jawa Timur
Kota Madiun,82.71,Jawa Timur
Kota Surabaya,83.45,Jawa Timur
Kota Batu,78.18,Jawa Timur
Bogor,73.02,Jawa Barat
Sukabumi,69.71,Jawa Barat
Cianjur,68.18,Jawa Barat
Bandung,74.03,Jawa Barat
Garut,69.22,Jawa Barat
Tasikmalaya,69.38,Jawa Barat
Ciamis,73.12,Jawa Barat
Kuningan,70.99,Jawa Barat
Cirebon,71.81,Jawa Barat
Majalengka,70.76,Jawa Barat
Sumedang,74.02,Jawa Barat
Indramayu,70.19,Jawa Barat
Subang,71.42,Jawa Barat
Purwakarta,73.43,Jawa Barat
Karawang,73.25,Jawa Barat
Bekasi,76.13,Jawa Barat
Bandung Barat,70.33,Jawa Barat
Pangandaran,70.57,Jawa Barat
Kota Bogor,78.36,Jawa Barat
Kota Sukabumi,77.16,Jawa Barat
Kota Bandung,83.29,Jawa Barat
Kota Cirebon,77.45,Jawa Barat
Kota Bekasi,83.06,Jawa Barat
Kota Depok,82.53,Jawa Barat
Kota Cimahi,79.69,Jawa Barat
Kota Tasikmalaya,75.47,Jawa Barat
Kota Banjar,74.45,Jawa Barat
